timestep,vehicle_id,vehicle_type,charging_station,battery_soc_percent
809.0,erickshaw_05,eRickshaw,ebus_depot_n3,83.3454857142857
810.0,erickshaw_05,eRickshaw,ebus_depot_n3,83.46442857142857
811.0,erickshaw_05,eRickshaw,ebus_depot_n3,83.5834
812.0,erickshaw_05,eRickshaw,ebus_depot_n3,83.70237142857142
813.0,erickshaw_05,eRickshaw,ebus_depot_n3,83.82134285714285
814.0,erickshaw_05,eRickshaw,ebus_depot_n3,83.9403142857143
815.0,erickshaw_05,eRickshaw,ebus_depot_n3,84.05928571428572
816.0,erickshaw_05,eRickshaw,ebus_depot_n3,84.17822857142858
817.0,erickshaw_05,eRickshaw,ebus_depot_n3,84.2972
818.0,erickshaw_05,eRickshaw,ebus_depot_n3,84.41617142857143
819.0,erickshaw_05,eRickshaw,ebus_depot_n3,84.53514285714286
820.0,erickshaw_05,eRickshaw,ebus_depot_n3,84.65411428571427
821.0,erickshaw_05,eRickshaw,ebus_depot_n3,84.77308571428573
822.0,erickshaw_05,eRickshaw,ebus_depot_n3,84.89202857142857
823.0,erickshaw_05,eRickshaw,ebus_depot_n3,85.011
824.0,erickshaw_05,eRickshaw,ebus_depot_n3,85.12997142857144
825.0,erickshaw_05,eRickshaw,ebus_depot_n3,85.24894285714286
826.0,erickshaw_05,eRickshaw,ebus_depot_n3,85.36791428571429
832.0,evan_03,eVan,ebus_depot_n3,49.73811428571429
833.0,evan_03,eVan,ebus_depot_n3,49.85708571428572
834.0,evan_03,eVan,ebus_depot_n3,49.97605714285714
835.0,evan_03,eVan,ebus_depot_n3,50.09502857142857
836.0,evan_03,eVan,ebus_depot_n3,50.214000000000006
837.0,evan_03,eVan,ebus_depot_n3,50.33294285714285
838.0,evan_03,eVan,ebus_depot_n3,50.45191428571428
839.0,evan_03,eVan,ebus_depot_n3,50.570885714285716
840.0,evan_03,eVan,ebus_depot_n3,50.68985714285714
841.0,evan_03,eVan,ebus_depot_n3,50.80882857142858
842.0,evan_03,eVan,ebus_depot_n3,50.9278
843.0,evan_03,eVan,ebus_depot_n3,51.04674285714286
844.0,evan_03,eVan,ebus_depot_n3,51.16571428571428
845.0,evan_03,eVan,ebus_depot_n3,51.284685714285715
846.0,evan_03,eVan,ebus_depot_n3,51.40365714285714
847.0,evan_03,eVan,ebus_depot_n3,51.52262857142856
848.0,evan_03,eVan,ebus_depot_n3,51.6416
849.0,evan_03,eVan,ebus_depot_n3,51.76054285714285
850.0,evan_03,eVan,ebus_depot_n3,51.87951428571429
851.0,evan_03,eVan,ebus_depot_n3,51.998485714285714
852.0,evan_03,eVan,ebus_depot_n3,52.11745714285715
853.0,evan_03,eVan,ebus_depot_n3,52.236428571428576
854.0,evan_03,eVan,ebus_depot_n3,52.355399999999996
855.0,evan_03,eVan,ebus_depot_n3,52.474342857142865
856.0,evan_03,eVan,ebus_depot_n3,52.593314285714285
857.0,evan_03,eVan,ebus_depot_n3,52.71228571428571
858.0,evan_03,eVan,ebus_depot_n3,52.83125714285713
859.0,evan_03,eVan,ebus_depot_n3,52.95022857142858
860.0,evan_03,eVan,ebus_depot_n3,53.0692
861.0,evan_03,eVan,ebus_depot_n3,53.18814285714285
862.0,evan_03,eVan,ebus_depot_n3,53.307114285714285
863.0,evan_03,eVan,ebus_depot_n3,53.42608571428572
864.0,evan_03,eVan,ebus_depot_n3,53.54505714285715
865.0,evan_03,eVan,ebus_depot_n3,53.66402857142857
866.0,evan_03,eVan,ebus_depot_n3,53.783
867.0,evan_03,eVan,ebus_depot_n3,53.901942857142856
868.0,evan_03,eVan,ebus_depot_n3,54.020914285714284
869.0,evan_03,eVan,ebus_depot_n3,54.139885714285704
870.0,evan_03,eVan,ebus_depot_n3,54.25885714285714
871.0,evan_03,eVan,ebus_depot_n3,54.37782857142858
872.0,evan_03,eVan,ebus_depot_n3,54.4968
873.0,evan_03,eVan,ebus_depot_n3,54.615742857142855
874.0,evan_03,eVan,ebus_depot_n3,54.73471428571429
875.0,evan_03,eVan,ebus_depot_n3,54.85368571428572
876.0,evan_03,eVan,ebus_depot_n3,54.97265714285714
877.0,evan_03,eVan,ebus_depot_n3,55.09162857142857
878.0,evan_03,eVan,ebus_depot_n3,55.2106
879.0,evan_03,eVan,ebus_depot_n3,55.329542857142854
880.0,evan_03,eVan,ebus_depot_n3,55.44851428571429
881.0,evan_03,eVan,ebus_depot_n3,55.567485714285716
882.0,evan_03,eVan,ebus_depot_n3,55.68645714285714
883.0,evan_03,eVan,ebus_depot_n3,55.80542857142857
884.0,evan_03,eVan,ebus_depot_n3,55.924400000000006
885.0,evan_03,eVan,ebus_depot_n3,56.043342857142854
886.0,evan_03,eVan,ebus_depot_n3,56.16231428571429
887.0,evan_03,eVan,ebus_depot_n3,56.28128571428571
888.0,evan_03,eVan,ebus_depot_n3,56.40025714285714
889.0,evan_03,eVan,ebus_depot_n3,56.51922857142857
890.0,evan_03,eVan,ebus_depot_n3,56.6382
891.0,evan_03,eVan,ebus_depot_n3,56.75714285714286
892.0,evan_03,eVan,ebus_depot_n3,56.87611428571429
893.0,evan_03,eVan,ebus_depot_n3,56.99508571428571
894.0,evan_03,eVan,ebus_depot_n3,57.114057142857135
895.0,evan_03,eVan,ebus_depot_n3,57.23302857142858
896.0,evan_03,eVan,ebus_depot_n3,57.352000000000004
897.0,evan_03,eVan,ebus_depot_n3,57.47094285714286
898.0,evan_03,eVan,ebus_depot_n3,57.58991428571429
899.0,evan_03,eVan,ebus_depot_n3,57.70888571428572
900.0,evan_03,eVan,ebus_depot_n3,57.82785714285714
901.0,evan_03,eVan,ebus_depot_n3,57.94682857142857
902.0,evan_03,eVan,ebus_depot_n3,58.0658
903.0,evan_03,eVan,ebus_depot_n3,58.18474285714286
904.0,evan_03,eVan,ebus_depot_n3,58.30371428571428
905.0,evan_03,eVan,ebus_depot_n3,58.42268571428571
906.0,evan_03,eVan,ebus_depot_n3,58.54165714285715
907.0,evan_03,eVan,ebus_depot_n3,58.660628571428575
908.0,evan_03,eVan,ebus_depot_n3,58.7796
909.0,evan_03,eVan,ebus_depot_n3,58.898542857142864
910.0,evan_03,eVan,ebus_depot_n3,59.01751428571429
911.0,evan_03,eVan,ebus_depot_n3,59.13648571428571
912.0,evan_03,eVan,ebus_depot_n3,59.25545714285714
913.0,evan_03,eVan,ebus_depot_n3,59.374428571428574
914.0,evan_03,eVan,ebus_depot_n3,59.493399999999994
915.0,evan_03,eVan,ebus_depot_n3,59.61234285714285
916.0,evan_03,eVan,ebus_depot_n3,59.73131428571429
917.0,evan_03,eVan,ebus_depot_n3,59.85028571428571
918.0,evan_03,eVan,ebus_depot_n3,59.969257142857145
919.0,evan_03,eVan,ebus_depot_n3,60.08822857142857
