timestep_sec,vehicle_id,current_edge,current_lane,current_speed_ms,current_soc_percent,battery_capacity_wh,priority,nearest_station_id,nearest_station_name,nearest_distance_m,nearest_edge,nearest_lane,nearest_power_kw,nearest_charging_available,nearest_waiting_available,nearest_occupancy_rate,2nd_nearest_station_id,2nd_nearest_station_name,2nd_nearest_distance_m,2nd_nearest_edge,2nd_nearest_lane,2nd_nearest_power_kw,2nd_nearest_charging_available,2nd_nearest_waiting_available,2nd_nearest_occupancy_rate,recommended_station,recommendation_reason
571.0,easyBike_009,E3,E3_0,11.76,35.85,12000.0,MEDIUM,pa_3,Station pa_3,158.6,E1,E1_0,20.0,0,0,100.0,pa_8,Station pa_8,430.69,E7,E7_0,25.0,4,3,20.0,Station pa_8,2nd nearest has slots (nearest full)
571.0,easyBike_010,E9,E9_0,11.85,37.57,12000.0,MEDIUM,pa_3,Station pa_3,82.59,E1,E1_0,20.0,0,0,100.0,pa_8,Station pa_8,324.19,E7,E7_0,25.0,4,3,20.0,Station pa_8,2nd nearest has slots (nearest full)
571.0,easyBike_011,E8,E8_0,7.91,39.14,12000.0,MEDIUM,pa_8,Station pa_8,26.95,E7,E7_0,25.0,4,3,20.0,pa_3,Station pa_3,402.52,E1,E1_0,20.0,0,0,100.0,Station pa_8,Nearest with charging slots
571.0,easyBike_013,NEG_E0,NEG_E0_0,12.09,27.65,12000.0,HIGH,pa_2_rev,Station pa_2_rev,46.82,NEG_E0,NEG_E0_0,20.0,3,3,25.0,pa_6_rev,Station pa_6_rev,264.56,NEG_E5,NEG_E5_0,25.0,4,3,20.0,Station pa_2_rev,Nearest with charging slots
571.0,easyBike_017,E1,E1_0,12.47,23.58,12000.0,HIGH,pa_3,Station pa_3,148.74,E1,E1_0,20.0,0,0,100.0,pa_3_rev,Station pa_3_rev,306.93,NEG_E1,NEG_E1_0,20.0,0,0,100.0,Station pa_3,Nearest (all busy)
571.0,easyBike_019,E5,parked,0.0,23.89,12000.0,HIGH,pa_6,Station pa_6,49.94,E5,E5_0,25.0,0,3,100.0,pa_7_rev,Station pa_7_rev,57.45,NEG_E6,NEG_E6_0,20.0,0,0,100.0,Station pa_6,Nearest with waiting slots
571.0,easyBike_019,E5,parked,0.0,23.89,12000.0,HIGH,pa_6,Station pa_6,53.26,E5,E5_0,25.0,0,3,100.0,pa_7_rev,Station pa_7_rev,60.72,NEG_E6,NEG_E6_0,20.0,0,0,100.0,Station pa_6,Nearest with waiting slots
571.0,easyBike_023,NEG_E4,NEG_E4_0,12.98,29.74,12000.0,HIGH,pa_6_rev,Station pa_6_rev,43.78,NEG_E5,NEG_E5_0,25.0,4,3,20.0,pa_2_rev,Station pa_2_rev,218.33,NEG_E0,NEG_E0_0,20.0,3,3,25.0,Station pa_6_rev,Nearest with charging slots
571.0,easyBike_023,NEG_E5,parked,0.0,29.85,12000.0,HIGH,pa_6_rev,Station pa_6_rev,35.04,NEG_E5,NEG_E5_0,25.0,4,3,20.0,pa_6,Station pa_6,224.66,E5,E5_0,25.0,0,3,100.0,Station pa_6_rev,Nearest with charging slots
571.0,easyBike_023,NEG_E6,NEG_E6_1,6.47,30.0,12000.0,MEDIUM,pa_7_rev,Station pa_7_rev,64.83,NEG_E6,NEG_E6_0,20.0,0,0,100.0,pa_6,Station pa_6,66.04,E5,E5_0,25.0,0,3,100.0,Station pa_7_rev,Nearest (all busy)
571.0,easyBike_023,NEG_E8,NEG_E8_0,0.94,30.83,12000.0,MEDIUM,pa_8,Station pa_8,162.7,E7,E7_0,25.0,4,3,20.0,pa_3,Station pa_3,417.13,E1,E1_0,20.0,0,0,100.0,Station pa_8,Nearest with charging slots
571.0,easyBike_025,E3,E3_0,13.05,17.03,12000.0,CRITICAL,pa_3,Station pa_3,159.58,E1,E1_0,20.0,0,0,100.0,pa_8,Station pa_8,421.27,E7,E7_0,25.0,4,3,20.0,Station pa_8,2nd nearest has slots (nearest full)
571.0,easyBike_027,E7,E7_0,13.28,14.52,12000.0,CRITICAL,pa_8,Station pa_8,51.4,E7,E7_0,25.0,4,3,20.0,pa_3,Station pa_3,408.74,E1,E1_0,20.0,0,0,100.0,Station pa_8,Nearest with charging slots
571.0,easyBike_027,E5,parked,0.0,15.13,12000.0,CRITICAL,pa_6,Station pa_6,56.58,E5,E5_0,25.0,0,3,100.0,pa_7_rev,Station pa_7_rev,64.0,NEG_E6,NEG_E6_0,20.0,0,0,100.0,Station pa_6,Nearest with waiting slots
571.0,easyBike_029,NEG_E1,parked,0.0,12.03,12000.0,CRITICAL,pa_3_rev,Station pa_3_rev,37.15,NEG_E1,NEG_E1_0,20.0,0,0,100.0,pa_2,Station pa_2,56.75,E0,E0_0,20.0,0,1,100.0,Station pa_3_rev,Nearest (all busy)
571.0,easyBike_031,NEG_E7,parked,0.0,15.18,12000.0,CRITICAL,pa_8_rev,Station pa_8_rev,15.13,NEG_E7,NEG_E7_0,25.0,0,0,100.0,pa_7,Station pa_7,39.04,E6,E6_0,20.0,4,2,0.0,Station pa_7,2nd nearest has slots (nearest full)
571.0,easyBike_033,E1,parked,0.0,18.13,12000.0,CRITICAL,pa_3,Station pa_3,70.68,E1,E1_0,20.0,0,0,100.0,pa_3_rev,Station pa_3_rev,385.12,NEG_E1,NEG_E1_0,20.0,0,0,100.0,Station pa_3,Nearest (all busy)
571.0,easyBike_033,E0,E0_0,13.64,18.55,12000.0,CRITICAL,pa_2_rev,Station pa_2_rev,146.59,NEG_E0,NEG_E0_0,20.0,3,3,25.0,pa_2,Station pa_2,244.18,E0,E0_0,20.0,0,1,100.0,Station pa_2_rev,Nearest with charging slots
571.0,eRickshaw_031,NEG_E6,parked,0.0,23.57,7200.0,HIGH,pa_7_rev,Station pa_7_rev,35.26,NEG_E6,NEG_E6_0,20.0,0,0,100.0,pa_6,Station pa_6,38.37,E5,E5_0,25.0,0,3,100.0,Station pa_7_rev,Nearest (all busy)
572.0,eRickshaw_031,NEG_E8,NEG_E8_0,12.72,24.4,7200.0,HIGH,pa_8,Station pa_8,49.83,E7,E7_0,25.0,4,3,20.0,pa_3,Station pa_3,409.87,E1,E1_0,20.0,0,0,100.0,Station pa_8,Nearest with charging slots
573.0,easyBike_002,E8,E8_0,11.13,40.73,12000.0,MEDIUM,pa_8,Station pa_8,160.11,E7,E7_0,25.0,4,3,20.0,pa_3,Station pa_3,407.28,E1,E1_0,20.0,0,0,100.0,Station pa_8,Nearest with charging slots
573.0,easyBike_002,E1,E1_0,11.18,41.63,12000.0,MEDIUM,pa_3_rev,Station pa_3_rev,31.46,NEG_E1,NEG_E1_0,20.0,0,0,100.0,pa_2,Station pa_2,47.77,E0,E0_0,20.0,0,1,100.0,Station pa_3_rev,Nearest (all busy)
573.0,easyBike_012,E8,E8_0,11.97,40.49,12000.0,MEDIUM,pa_8,Station pa_8,71.68,E7,E7_0,25.0,4,3,20.0,pa_3,Station pa_3,399.2,E1,E1_0,20.0,0,0,100.0,Station pa_8,Nearest with charging slots
573.0,easyBike_015,NEG_E4,NEG_E4_0,12.26,25.39,12000.0,HIGH,pa_6_rev,Station pa_6_rev,97.55,NEG_E5,NEG_E5_0,25.0,4,3,20.0,pa_2_rev,Station pa_2_rev,164.54,NEG_E0,NEG_E0_0,20.0,3,3,25.0,Station pa_6_rev,Nearest with charging slots
