timestep_sec,vehicle_id,vehicle_type,current_soc_percent,nearest_station,route_length_m,slot_availability
440.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
441.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
441.0,easyBike_reverse1.11,easyBike,26.25,pa_2_rev,3086.76,charging
442.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
442.0,eRickshaw_reverse4.1,eRickshaw,30.0,pa_2_rev,1709.74,charging
443.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
444.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
445.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
446.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
447.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
448.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
449.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
450.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
451.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
452.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
452.0,eRickshaw_reverse2.2,eRickshaw,30.0,pa_2_rev,1669.89,charging
454.0,eRickshaw_reverse1.2,eRickshaw,30.0,pa_2_rev,1669.89,charging
459.0,eRickshaw_forward4.1,eRickshaw,30.0,pa_8,900.0,charging
461.0,eRickshaw_forward3.1,eRickshaw,29.98,pa_2_rev,3839.05,charging
475.0,eRickshaw_reverse3.2,eRickshaw,30.0,pa_6_rev,766.15,charging
481.0,easyBike_reverse1.12,easyBike,26.25,pa_2_rev,3086.76,charging
505.0,eRickshaw_forward2.1,eRickshaw,29.71,pa_2_rev,3839.05,charging
505.0,easyBike_forward3.7,easyBike,26.25,pa_7,1213.49,charging
521.0,easyBike_reverse1.13,easyBike,26.25,pa_2_rev,3086.76,waiting
531.0,eRickshaw_reverse4.2,eRickshaw,30.0,pa_2_rev,1709.74,waiting
535.0,eRickshaw_reverse2.3,eRickshaw,30.0,pa_2_rev,1669.89,waiting
544.0,eRickshaw_reverse1.3,eRickshaw,30.0,pa_2_rev,1669.89,waiting
558.0,easyBike_reverse2.10,easyBike,26.01,pa_2_rev,2678.78,waiting
560.0,eRickshaw_reverse1.4,eRickshaw,30.0,pa_2_rev,1669.89,waiting
561.0,eRickshaw_forward3.2,eRickshaw,30.0,pa_8,900.0,charging
561.0,easyBike_reverse1.14,easyBike,26.25,pa_2_rev,3086.76,waiting
562.0,eRickshaw_forward3.2,eRickshaw,29.99,pa_8,900.0,charging
563.0,eRickshaw_forward3.2,eRickshaw,29.99,pa_8,900.0,charging
564.0,eRickshaw_forward3.2,eRickshaw,29.99,pa_8,900.0,charging
565.0,eRickshaw_forward3.2,eRickshaw,29.98,pa_8,900.0,charging
569.0,eRickshaw_forward3.2,eRickshaw,29.97,pa_2_rev,3839.05,waiting
577.0,easyBike_forward3.8,easyBike,26.25,pa_7,1213.49,charging
599.0,easyBike_forward4.6,easyBike,25.98,pa_6_rev,1637.09,charging
