timestep_sec,station_id,station_edge,station_capacity,vehicles_charging,vehicle_ids,charging_times_sec,total_power_load_kW,utilization_percent,available_slots
512.0,pa_7,E6,4,2,"easyBike_reverse2.3,easyBike_forward3.2","112.0,101.0",40.0,50.0,2
512.0,pa_8,E7,5,1,easyBike_forward4.1,115.0,25.0,20.0,4
512.0,pa_2_rev,NEG_E0,4,3,"easyBike_reverse4.1,easyBike_reverse2.2,eRickshaw_reverse1.3","214.0,200.0,2.0",60.0,75.0,1
512.0,pa_3_rev,NEG_E1,4,2,"easyBike_reverse2.1,eRickshaw_forward3.1","202.0,68.0",40.0,50.0,2
512.0,pa_6_rev,NEG_E5,5,3,"easyBike_forward4.2,easyBike_reverse3.4,eRickshaw_reverse3.2","73.0,35.0,25.0",75.0,60.0,2
512.0,pa_7_rev,NEG_E6,4,2,"easyBike_reverse3.3,eRickshaw_reverse1.1","120.0,23.0",40.0,50.0,2
512.0,pa_8_rev,NEG_E7,5,5,"easyBike_forward2.2,eRickshaw_forward2.0,easyBike_forward1.3,easyBike_forward1.2,eRickshaw_forward1.0","185.0,160.0,144.0,77.0,20.0",125.0,100.0,0
513.0,pa_2,E0,4,1,easyBike_forward1.4,99.0,20.0,25.0,3
513.0,pa_3,E1,4,4,"easyBike_forward1.5,eRickshaw_reverse4.1,easyBike_forward2.5,easyBike_forward1.6","56.0,9.0,7.0,5.0",80.0,100.0,0
513.0,pa_6,E5,5,2,"eRickshaw_forward4.0,eRickshaw_reverse1.0","160.0,15.0",50.0,40.0,3
513.0,pa_7,E6,4,2,"easyBike_reverse2.3,easyBike_forward3.2","113.0,102.0",40.0,50.0,2
513.0,pa_8,E7,5,1,easyBike_forward4.1,116.0,25.0,20.0,4
513.0,pa_2_rev,NEG_E0,4,3,"easyBike_reverse4.1,easyBike_reverse2.2,eRickshaw_reverse1.3","215.0,201.0,3.0",60.0,75.0,1
513.0,pa_3_rev,NEG_E1,4,2,"easyBike_reverse2.1,eRickshaw_forward3.1","203.0,69.0",40.0,50.0,2
513.0,pa_6_rev,NEG_E5,5,3,"easyBike_forward4.2,easyBike_reverse3.4,eRickshaw_reverse3.2","74.0,36.0,26.0",75.0,60.0,2
513.0,pa_7_rev,NEG_E6,4,2,"easyBike_reverse3.3,eRickshaw_reverse1.1","121.0,24.0",40.0,50.0,2
513.0,pa_8_rev,NEG_E7,5,5,"easyBike_forward2.2,eRickshaw_forward2.0,easyBike_forward1.3,easyBike_forward1.2,eRickshaw_forward1.0","186.0,161.0,145.0,78.0,21.0",125.0,100.0,0
514.0,pa_2,E0,4,1,easyBike_forward1.4,100.0,20.0,25.0,3
514.0,pa_3,E1,4,4,"easyBike_forward1.5,eRickshaw_reverse4.1,easyBike_forward2.5,easyBike_forward1.6","57.0,10.0,8.0,6.0",80.0,100.0,0
514.0,pa_6,E5,5,2,"eRickshaw_forward4.0,eRickshaw_reverse1.0","161.0,16.0",50.0,40.0,3
514.0,pa_7,E6,4,2,"easyBike_reverse2.3,easyBike_forward3.2","114.0,103.0",40.0,50.0,2
514.0,pa_8,E7,5,1,easyBike_forward4.1,117.0,25.0,20.0,4
514.0,pa_2_rev,NEG_E0,4,3,"easyBike_reverse4.1,easyBike_reverse2.2,eRickshaw_reverse1.3","216.0,202.0,4.0",60.0,75.0,1
514.0,pa_3_rev,NEG_E1,4,2,"easyBike_reverse2.1,eRickshaw_forward3.1","204.0,70.0",40.0,50.0,2
